stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
856_05,,仁堀上,,34.878498,134.020508,856_05,https://www.unobus.co.jp/bustei/856#856_05,0,,
858_04,,菊ケ峠,,34.881474,134.029727,858_04,https://www.unobus.co.jp/bustei/858#858_04,0,,
858_05,,菊ケ峠,,34.881431,134.029903571429,858_05,https://www.unobus.co.jp/bustei/858#858_05,0,,
860_04,,塩木上,,34.88311,134.036139571429,860_04,https://www.unobus.co.jp/bustei/860#860_04,0,,
860_05,,塩木上,,34.883065,134.036077,860_05,https://www.unobus.co.jp/bustei/860#860_05,0,,
862_04,,塩木中,,34.883356,134.042674428571,862_04,https://www.unobus.co.jp/bustei/862#862_04,0,,
862_05,,塩木中,,34.882737,134.041194428571,862_05,https://www.unobus.co.jp/bustei/862#862_05,0,,
864_04,,塩木下,,34.884886,134.047604857143,864_04,https://www.unobus.co.jp/bustei/864#864_04,0,,
864_05,,塩木下,,34.884662,134.046914285714,864_05,https://www.unobus.co.jp/bustei/864#864_05,0,,
866_04,,湯免温泉,,34.887485,134.057402,866_04,https://www.unobus.co.jp/bustei/866#866_04,0,,
866_05,,湯免温泉,,34.887512,134.057904428571,866_05,https://www.unobus.co.jp/bustei/866#866_05,0,,
868_04,,佐伯北,,34.89094,134.064492857143,868_04,https://www.unobus.co.jp/bustei/868#868_04,0,,
868_05,,佐伯北,,34.89073,134.064287,868_05,https://www.unobus.co.jp/bustei/868#868_05,0,,
870_04,,吉井総合センター,,34.892973,134.070003,870_04,https://www.unobus.co.jp/bustei/870#870_04,0,,
870_05,,吉井総合センター,,34.89284,134.069426,870_05,https://www.unobus.co.jp/bustei/870#870_05,0,,
872_04,,高田,,34.894297,134.07278,872_04,https://www.unobus.co.jp/bustei/872#872_04,0,,
872_05,,高田,,34.89429,134.07289,872_05,https://www.unobus.co.jp/bustei/872#872_05,0,,
874_04,,稲蒔,,34.896755,134.082297142857,874_04,https://www.unobus.co.jp/bustei/874#874_04,0,,
874_05,,稲蒔,,34.896796,134.082647,874_05,https://www.unobus.co.jp/bustei/874#874_05,0,,
876_04,,福田住宅前,,34.903525,134.08379,876_04,https://www.unobus.co.jp/bustei/876#876_04,0,,
876_05,,福田住宅前,,34.904711,134.084227,876_05,https://www.unobus.co.jp/bustei/876#876_05,0,,
878_04,,福田,,34.908622,134.087097428571,878_04,https://www.unobus.co.jp/bustei/878#878_04,0,,
878_05,,福田,,34.908371,134.086997285714,878_05,https://www.unobus.co.jp/bustei/878#878_05,0,,
880_04,,山方口,,34.912593,134.090251428571,880_04,https://www.unobus.co.jp/bustei/880#880_04,0,,
880_05,,山方口,,34.912217,134.089991,880_05,https://www.unobus.co.jp/bustei/880#880_05,0,,
882_04,,吉井中学校前,,34.917316,134.092998,882_04,https://www.unobus.co.jp/bustei/882#882_04,0,,
882_05,,吉井中学校前,,34.91715,134.092981428571,882_05,https://www.unobus.co.jp/bustei/882#882_05,0,,
884_04,,周匝,,34.91884,134.093807,884_04,https://www.unobus.co.jp/bustei/884#884_04,0,,
884_05,,周匝,,34.918515,134.093692,884_05,https://www.unobus.co.jp/bustei/884#884_05,0,,
886_04,,周匝上,,34.921141,134.096396,886_04,https://www.unobus.co.jp/bustei/886#886_04,0,,
886_05,,周匝上,,34.920624,134.095661,886_05,https://www.unobus.co.jp/bustei/886#886_05,0,,
