service_id,date,exception_type
平日,20210211,2
土日祝,20210211,1
平日,20210223,2
土日祝,20210223,1
平日,20210429,2
土日祝,20210429,1
平日,20210503,2
土日祝,20210503,1
平日,20210504,2
土日祝,20210504,1
平日,20210505,2
土日祝,20210505,1
平日,20210722,2
土日祝,20210722,1
平日,20210723,2
土日祝,20210723,1
平日,20210809,2
土日祝,20210809,1
平日,20210920,2
土日祝,20210920,1
平日,20210923,2
土日祝,20210923,1
平日,20211103,2
土日祝,20211103,1
平日,20211123,2
土日祝,20211123,1
平日,20220110,2
土日祝,20220110,1
